InvoiceNo,InvoiceDate,CustomerID,Subtotal,Country
536365,2010-12-01 08:26:00,17850.0,139.12,United Kingdom
536366,2010-12-01 08:28:00,17850.0,22.200000000000003,United Kingdom
536367,2010-12-01 08:34:00,13047.0,278.73,United Kingdom
536368,2010-12-01 08:34:00,13047.0,70.05000000000001,United Kingdom
536369,2010-12-01 08:35:00,13047.0,17.85,United Kingdom
536370,2010-12-01 08:45:00,12583.0,855.86,France
536371,2010-12-01 09:00:00,13748.0,204.0,United Kingdom
536372,2010-12-01 09:01:00,17850.0,22.200000000000003,United Kingdom
536373,2010-12-01 09:02:00,17850.0,259.86,United Kingdom
536374,2010-12-01 09:09:00,15100.0,350.4,United Kingdom
536375,2010-12-01 09:32:00,17850.0,259.86,United Kingdom
536376,2010-12-01 09:32:00,15291.0,328.8,United Kingdom
536377,2010-12-01 09:34:00,17850.0,22.200000000000003,United Kingdom
536378,2010-12-01 09:37:00,14688.0,444.98,United Kingdom
536380,2010-12-01 09:41:00,17809.0,34.8,United Kingdom
536381,2010-12-01 09:41:00,15311.0,449.9800000000001,United Kingdom
536382,2010-12-01 09:45:00,16098.0,430.59999999999997,United Kingdom
536384,2010-12-01 09:53:00,18074.0,489.6,United Kingdom
536385,2010-12-01 09:56:00,17420.0,130.85,United Kingdom
536386,2010-12-01 09:57:00,16029.0,508.20000000000005,United Kingdom
536387,2010-12-01 09:58:00,16029.0,3193.92,United Kingdom
536388,2010-12-01 09:59:00,16250.0,226.14,United Kingdom
536389,2010-12-01 10:03:00,12431.0,358.25,Australia
536390,2010-12-01 10:19:00,17511.0,1825.74,United Kingdom
536392,2010-12-01 10:29:00,13705.0,318.14000000000004,United Kingdom
536393,2010-12-01 10:37:00,13747.0,79.6,United Kingdom
536394,2010-12-01 10:39:00,13408.0,1024.6800000000003,United Kingdom
536395,2010-12-01 10:47:00,13767.0,507.88000000000005,United Kingdom
536396,2010-12-01 10:51:00,17850.0,376.36,United Kingdom
536397,2010-12-01 10:51:00,17924.0,279.0,United Kingdom
536398,2010-12-01 10:52:00,13448.0,426.56000000000006,United Kingdom
536399,2010-12-01 10:52:00,17850.0,22.200000000000003,United Kingdom
536400,2010-12-01 10:53:00,13448.0,17.4,United Kingdom
536401,2010-12-01 11:21:00,15862.0,354.22999999999996,United Kingdom
536402,2010-12-01 11:22:00,15513.0,357.0,United Kingdom
536403,2010-12-01 11:27:00,12791.0,192.60000000000002,Netherlands
536404,2010-12-01 11:29:00,16218.0,471.30000000000007,United Kingdom
536405,2010-12-01 11:32:00,14045.0,326.4,United Kingdom
536406,2010-12-01 11:33:00,17850.0,353.14,United Kingdom
536407,2010-12-01 11:34:00,17850.0,22.200000000000003,United Kingdom
536408,2010-12-01 11:41:00,14307.0,783.1099999999999,United Kingdom
536409,2010-12-01 11:45:00,17908.0,243.27999999999997,United Kingdom
536412,2010-12-01 11:49:00,17920.0,514.41,United Kingdom
536414,2010-12-01 11:52:00,,0.0,United Kingdom
536415,2010-12-01 11:57:00,12838.0,390.78999999999996,United Kingdom
536416,2010-12-01 11:58:00,13255.0,225.7,United Kingdom
536420,2010-12-01 12:03:00,16583.0,233.45000000000002,United Kingdom
536423,2010-12-01 12:08:00,18085.0,303.90000000000003,United Kingdom
536425,2010-12-01 12:08:00,13758.0,362.44999999999993,United Kingdom
536437,2010-12-01 12:12:00,13694.0,842.12,United Kingdom
536446,2010-12-01 12:15:00,15983.0,440.89,United Kingdom
536460,2010-12-01 12:22:00,14849.0,295.53999999999996,United Kingdom
536463,2010-12-01 12:22:00,14849.0,17.4,United Kingdom
536464,2010-12-01 12:23:00,17968.0,277.35,United Kingdom
536466,2010-12-01 12:23:00,14849.0,42.9,United Kingdom
536477,2010-12-01 12:27:00,16210.0,2474.7399999999993,United Kingdom
536488,2010-12-01 12:31:00,17897.0,165.88999999999996,United Kingdom
536500,2010-12-01 12:35:00,17377.0,223.89999999999998,United Kingdom
536502,2010-12-01 12:36:00,16552.0,95.29,United Kingdom
536508,2010-12-01 12:38:00,17181.0,155.52,United Kingdom
536514,2010-12-01 12:40:00,17951.0,295.50000000000006,United Kingdom
536520,2010-12-01 12:43:00,14729.0,313.49000000000007,United Kingdom
536521,2010-12-01 12:48:00,12748.0,4.95,United Kingdom
536522,2010-12-01 12:49:00,15012.0,191.05999999999997,United Kingdom
536523,2010-12-01 12:50:00,12868.0,203.29999999999998,United Kingdom
536524,2010-12-01 12:51:00,17572.0,70.80000000000001,United Kingdom
536525,2010-12-01 12:54:00,14078.0,136.24,United Kingdom
536526,2010-12-01 12:58:00,14001.0,301.24,United Kingdom
536527,2010-12-01 13:04:00,12662.0,261.48,Germany
536528,2010-12-01 13:17:00,15525.0,313.93,United Kingdom
536529,2010-12-01 13:20:00,14237.0,161.00000000000003,United Kingdom
536530,2010-12-01 13:21:00,17905.0,201.74999999999994,United Kingdom
536531,2010-12-01 13:23:00,15485.0,950.0899999999999,United Kingdom
536532,2010-12-01 13:24:00,12433.0,1919.1399999999999,Norway
536533,2010-12-01 13:31:00,16955.0,156.09999999999997,United Kingdom
536534,2010-12-01 13:33:00,15350.0,115.65,United Kingdom
536535,2010-12-01 13:38:00,15605.0,194.85000000000002,United Kingdom
536536,2010-12-01 13:45:00,18144.0,165.04999999999998,United Kingdom
536537,2010-12-01 13:51:00,15922.0,369.50000000000006,United Kingdom
536538,2010-12-01 13:54:00,14594.0,254.99999999999997,United Kingdom
536539,2010-12-01 14:03:00,15165.0,487.75,United Kingdom
536540,2010-12-01 14:05:00,14911.0,540.3799999999999,EIRE
536541,2010-12-01 14:05:00,14911.0,15.0,EIRE
536542,2010-12-01 14:11:00,16456.0,787.4,United Kingdom
536544,2010-12-01 14:32:00,,5521.139999999999,United Kingdom
536545,2010-12-01 14:32:00,,0.0,United Kingdom
536546,2010-12-01 14:33:00,,0.0,United Kingdom
536547,2010-12-01 14:33:00,,0.0,United Kingdom
536549,2010-12-01 14:34:00,,0.0,United Kingdom
536550,2010-12-01 14:34:00,,0.0,United Kingdom
536551,2010-12-01 14:34:00,17346.0,146.60999999999999,United Kingdom
536552,2010-12-01 14:34:00,,0.0,United Kingdom
536553,2010-12-01 14:35:00,,0.0,United Kingdom
536554,2010-12-01 14:35:00,,0.0,United Kingdom
536555,2010-12-01 14:37:00,,2.9699999999999998,United Kingdom
536556,2010-12-01 14:38:00,17643.0,101.55,United Kingdom
536557,2010-12-01 14:41:00,17841.0,537.3800000000001,United Kingdom
536558,2010-12-01 14:48:00,,99.75,United Kingdom
536559,2010-12-01 14:54:00,17873.0,215.14999999999998,United Kingdom
536560,2010-12-01 15:00:00,13093.0,799.4,United Kingdom
536561,2010-12-01 15:06:00,12921.0,322.4,United Kingdom
536562,2010-12-01 15:08:00,13468.0,308.65000000000003,United Kingdom
536563,2010-12-01 15:08:00,17760.0,172.54,United Kingdom
536564,2010-12-01 15:08:00,13468.0,51.4,United Kingdom
536565,2010-12-01 15:15:00,,6.7,United Kingdom
536566,2010-12-01 15:21:00,16928.0,116.25,United Kingdom
536567,2010-12-01 15:27:00,16048.0,251.40000000000003,United Kingdom
536568,2010-12-01 15:28:00,16048.0,5.04,United Kingdom
536569,2010-12-01 15:35:00,16274.0,357.94999999999993,United Kingdom
536570,2010-12-01 15:35:00,14496.0,304.34000000000003,United Kingdom
536571,2010-12-01 15:37:00,14696.0,294.61999999999995,United Kingdom
536572,2010-12-01 15:40:00,16539.0,442.35,United Kingdom
536573,2010-12-01 15:45:00,17025.0,143.12,United Kingdom
536574,2010-12-01 15:46:00,17025.0,17.85,United Kingdom
536575,2010-12-01 16:01:00,13777.0,1552.98,United Kingdom
536576,2010-12-01 16:11:00,13777.0,2558.42,United Kingdom
536577,2010-12-01 16:13:00,13777.0,497.0,United Kingdom
536578,2010-12-01 16:15:00,17690.0,279.6,United Kingdom
536579,2010-12-01 16:16:00,13777.0,315.96000000000004,United Kingdom
536580,2010-12-01 16:17:00,17690.0,97.2,United Kingdom
536581,2010-12-01 16:19:00,13777.0,330.0,United Kingdom
536582,2010-12-01 16:21:00,12947.0,304.03999999999996,United Kingdom
536583,2010-12-01 16:21:00,13777.0,198.0,United Kingdom
536584,2010-12-01 16:22:00,13777.0,1132.8000000000002,United Kingdom
536585,2010-12-01 16:24:00,17460.0,19.9,United Kingdom
536586,2010-12-01 16:25:00,18229.0,344.2,United Kingdom
536587,2010-12-01 16:33:00,14142.0,311.81,United Kingdom
536588,2010-12-01 16:49:00,17069.0,277.05,United Kingdom
536589,2010-12-01 16:50:00,,0.0,United Kingdom
536590,2010-12-01 16:52:00,13065.0,205.85999999999999,United Kingdom
536591,2010-12-01 16:57:00,14606.0,198.32,United Kingdom
536592,2010-12-01 17:06:00,,6915.65,United Kingdom
536593,2010-12-01 17:15:00,16835.0,81.75,United Kingdom
536594,2010-12-01 17:22:00,15235.0,79.5,United Kingdom
536595,2010-12-01 17:24:00,13576.0,349.15,United Kingdom
536596,2010-12-01 17:29:00,,38.09,United Kingdom
536597,2010-12-01 17:35:00,18011.0,102.79,United Kingdom
536598,2010-12-02 07:48:00,13090.0,160.6,United Kingdom
536599,2010-12-02 07:49:00,15694.0,306.4,United Kingdom
536600,2010-12-02 08:32:00,17850.0,251.62,United Kingdom
536601,2010-12-02 08:33:00,17850.0,22.200000000000003,United Kingdom
536602,2010-12-02 08:34:00,17850.0,163.76000000000002,United Kingdom
536603,2010-12-02 08:40:00,17850.0,22.200000000000003,United Kingdom
536604,2010-12-02 08:43:00,14741.0,184.5,United Kingdom
536605,2010-12-02 08:52:00,13715.0,272.65,United Kingdom
